device,first_payment_amount,age,city,number_of_cards,payments_initiated,payments_failed,payments_completed,payments_completed_amount_first_7days,reward_purchase_count_first_7days,coins_redeemed_first_7days,is_referral,visits_feature_1,visits_feature_2,given_permission_1,given_permission_2,user_id,is_churned
samsung,0,20,Ahmedabad,2,1,0,1,0,,0,FALSE,3,0,1,0,269438,0
xiaomi,0,20,Surat,1,1,0,1,0,,0,TRUE,0,0,1,0,139521,0
xiaomi,0,20,Kullu,1,2,1,1,0,0,0,TRUE,0,0,0,1,307352,0
oneplus,0,20,Mumbai,2,4,1,2,322,2,20,FALSE,0,0,1,1,456424,0
apple,0,20,Pune,2,1,0,1,0,0,0,FALSE,0,1,1,1,398779,0
oppo,0,20,Ahmedabad,0,1,0,1,0,0,0,TRUE,0,0,1,1,136656,0
samsung,0,20,Surat,0,1,0,1,0,0,0,TRUE,1,0,1,0,264250,0
xiaomi,0,20,Warangal,0,17,0,12,143,6,190,FALSE,0,0,1,1,189834,0
oneplus,0,20,Kanchipuram,0,1,0,1,0,0,0,TRUE,0,0,0,0,176151,0
samsung,0,20,Hyderabad,0,1,0,1,0,,0,TRUE,0,0,1,1,251202,0
hmd global,0,20,Jalandhar,0,2,1,1,0,0,0,FALSE,1,0,1,0,144672,0
realme,0,20,Berhampur,0,3,0,1,0,,0,FALSE,1,1,1,1,197721,0
sony,0,20,Bangalore,2,2,0,2,83,0,0,FALSE,0,0,1,1,358202,0
apple,1,20,Pune,4,2,0,2,17,0,0,FALSE,,,1,1,432705,0
hmd global,1,20,Bangalore,2,1,0,1,1,0,0,TRUE,1,0,1,0,274625,0
samsung,1,20,Mumbai,4,2,0,2,54,2,20,FALSE,0,0,0,1,100800,0
xiaomi,2,20,NCR,1,5,0,4,13,1,3,TRUE,1,0,1,1,12042,0
xiaomi,2,20,Mumbai,1,2,0,2,7,0,0,FALSE,0,0,1,1,4083,0
apple,2,20,Bangalore,0,7,2,4,91,0,0,FALSE,0,0,1,1,53993,0
xiaomi,2,20,Bangalore,0,1,0,1,2,0,0,TRUE,0,0,1,1,84190,0
realme,2,20,Thiruvananthapuram,1,3,0,1,2,0,0,FALSE,1,1,1,1,129736,0
xiaomi,2,20,Madurai,1,4,1,1,2,0,0,FALSE,0,0,1,0,311321,0
xiaomi,3,20,Mumbai,0,1,0,1,3,0,0,TRUE,0,0,0,0,328687,0
xiaomi,3,20,Hyderabad,4,10,7,3,110,1,3,FALSE,1,3,1,1,274497,0
apple,3,20,Bangalore,1,1,0,1,3,1,3,TRUE,0,0,1,1,75189,0
xiaomi,3,20,Ludhiana,0,1,0,1,3,0,0,TRUE,0,0,1,1,327966,0
samsung,3,20,Hyderabad,1,4,2,2,6,1,3,FALSE,0,0,1,1,236055,0
xiaomi,3,20,Bangalore,1,5,0,4,13,4,10,TRUE,0,0,1,1,344884,0
motorola,5,20,,1,1,0,1,5,0,0,FALSE,0,0,0,0,335801,0
apple,6,20,NCR,2,2,0,1,6,1,3,FALSE,0,0,1,1,405644,0
oppo,6,20,Lucknow,0,4,0,1,6,0,0,TRUE,0,0,1,1,447429,0
oneplus,6,20,Kharagpur,0,1,0,1,6,,0,TRUE,0,0,1,0,318741,0
huawei,7,20,Pimpri-Chinchwad,2,1,0,1,7,0,0,FALSE,0,0,1,1,268127,0
xiaomi,7,20,Tiruvarur,1,1,0,1,7,1,3,TRUE,0,0,0,0,185006,0
apple,7,20,Bangalore,,,,,,0,,FALSE,,,1,1,30476,0
oneplus,7,20,Bageshwar ,1,13,0,10,54,5,17,FALSE,0,0,1,1,13318,0
xiaomi,7,20,Bangalore,1,1,0,1,7,,0,FALSE,,,0,0,442460,0
vivo,7,20,Sirsa,0,2,1,1,7,,0,FALSE,0,0,1,1,445793,0
